Title,Author,ISBN,IBSN13,Number of Pages,Average Rating,Number of Ratings,Publish Date,Publish Date Edition,My Rating,Shelves,Read Count,Date Started,Date Read,Date Added
A Study in Emerald,"Gaiman, Neil",1506703933,9781506703930,88,3.92,4494,"Jun 27, 2018","Jun 27, 2018",liked it,1 of 5 stars,1,"Jul 22, 2019","Jul 22, 2019","Jul 08, 2021"
A Confederacy of Dunces,"Toole, John Kennedy",0802130208,9780802130204,394,3.88,243311,"May 01, 1980",Jan 1994,,1 of 5 stars,1,"Jul 05, 2021",not set,"Jul 05, 2021"
Battles in the Desert (40th Anniversary Edition),"Pacheco, José Emilio",0811230953,9780811230957,80,4.28,25,unknown,"Jun 01, 2021",really liked it,1 of 5 stars,1,"Jul 04, 2021","Jul 04, 2021","Jul 04, 2021"
Agent Running in the Field,"le Carré, John",1984878875,9781984878878,282,3.88,15235,"Oct 22, 2019","Oct 22, 2019",,1 of 5 stars,1,"Jun 26, 2021",not set,"Jun 24, 2021"
What Belongs to You,"Greenwell, Garth",0374288224,9780374288228,195,3.77,10877,"Jan 19, 2016","Jan 19, 2016",it was amazing,1 of 5 stars,1,"Jul 05, 2021","Jul 07, 2021","Jun 24, 2021"
"Manifest Destiny, Vol. 6: Fortis and Invisibilia","Dingess, Chris",1534305130,9781534305137,128,3.76,272,"Oct 09, 2018","Oct 09, 2018",liked it,1 of 5 stars,1,"Jun 13, 2021","Jun 14, 2021","Jun 22, 2021"
"Dune: the Graphic Novel, Book 1","Herbert, Frank",1419731505,9781419731501,176,4.03,1889,"Nov 24, 2020","Nov 24, 2020",it was ok,1 of 5 stars,1,"Jun 11, 2021","Jun 22, 2021","Jun 22, 2021"
A Registry of My Passage upon the Earth: Stories,"Mason, Daniel",031647763X,9780316477635,240,3.72,334,"May 05, 2020","May 05, 2020",,1 of 5 stars,0,not set,not set,"Jun 11, 2021"
Rodham,"Sittenfeld, Curtis",0399590919,9780399590917,417,3.83,29873,"May 19, 2020","May 19, 2020",really liked it,1 of 5 stars,1,"Jun 05, 2021","Jun 21, 2021","Jun 05, 2021"
The Best American Essays 2020,"Aciman, André",0358359910,9780358359913,336,3.69,155,"Oct 06, 2020","Nov 03, 2020",,1 of 5 stars,1,"Jun 05, 2021",not set,"Jun 05, 2021"
